,title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32,reviewImageUrls/33,reviewImageUrls/34,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Recommendation for vegetarians,reviewImageUrls/35,reviewImageUrls/36,reviewImageUrls/37,reviewImageUrls/38,reviewImageUrls/39,reviewImageUrls/40,reviewImageUrls/41,reviewImageUrls/42,reviewImageUrls/43,reviewImageUrls/44,reviewImageUrls/45,reviewImageUrls/46,reviewImageUrls/47,reviewImageUrls/48,reviewImageUrls/49,lang,num_words
8889,Al Amaan Restaurant,5,"Dropped by for dinner & there wasn’t a crowd which was great 🙂ordered the cheese and garlic flavoured with chicken korma, with a chicken kebab.
Naans were chewy and texture was definitely one of the best I’ve tried 🥳 chicken kebab came in a bread/pita instead of a wrap but it was delicious.

Side note: they have a huge variety of food on their menu and everything is priced reasonably!",2020-11-07T08:54:47.785Z,1,Epompom,291.0,True,,,3 years ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNpNmRqQnBBRRAB,https://lh5.googleusercontent.com/p/AF1QipO7zO2emw4LjWQvhHp8Awa5PwSxP48j3HWIiu8f=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPj70BpZLGV6ozjix-4iVbP8BGISaXhzXkC1CSX=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNpNmRqQnBBRRAB!2m1!1s0x0:0x4fc4767d3de8acde!3m1!1s2@1:CIHM0ogKEICAgICi6djBpAE%7CCgwI18GZ_QUQsLDB9gI%7C?hl=en,103690781259888275542,https://lh3.googleusercontent.com/a-/ALV-UjWqUPipoe9s8v8Cq6SUCo8hb_CgTyUKQ6iCAEuuJ_ezXxE=s120-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/103690781259888275542?hl=en,,,,,,,,,,,,,,,,,,en,70
2173,Tempura Makino (Jewel Changi Airport),5,"Our first time to try the food here.the food was nice but the thing that impressed us was the service from Mr.Rayner.As you know restaurant in Singapore services are very normal and they just do their job even in some Michelin star restaurant.But Mr.Rayner service was exceptional and with warm hospitality!!!
He was so friendly and polite also instructed us to be careful and show us how to handle the hot sake.it’s a small detail but his service make you feel like you are eating in Japan.",2024-01-05T12:09:02.626Z,0,Jirathip Piam,8.0,False,2024-01-05T15:00:44.870Z,,2 months ago,,Dinner,,$30–40,Dine in,5.0,5.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUQxNUtHTzVBRRAB,https://lh5.googleusercontent.com/p/AF1QipNsQL_4F0_VgMEe8NI4YjwogE5TRtRnfCMp4u3Q=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNX5b8UdBKgJglDqQdMA4j0wvwgmuykDltDpE--=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQxNUtHTzVBRRAB!2m1!1s0x0:0x5dcbb50faa88807a!3m1!1s2@1:CIHM0ogKEICAgID15KGO5AE%7CCgwI3uLfrAYQ2IfQqgI%7C?hl=en,101460830622500032449,https://lh3.googleusercontent.com/a/ACg8ocICa1kTaUKMkzvtlqxQimW26hzrNwInrItByDudowU7=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/101460830622500032449?hl=en,,,,,,,,,,,,,,,,,,en,87
4172,Maji Curry Square 2,4,"The curry is nice, I like it better than Monster or Coco. It was rated as No 1 curry in Japan as per the shop. Tonkatsu could be juicier though. Will come back again!",2024-03-01T11:40:43.990Z,0,Serene Fun,6.0,False,,,6 days ago,,Dinner,,$10–20,Dine in,3.0,4.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUM5Mk9qX013EAE,https://lh5.googleusercontent.com/p/AF1QipMtoJC4gHLAWbJVi1lJBMWjBChK8Oj2vP-y2Ryr=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5Mk9qX013EAE!2m1!1s0x0:0xa274e2459f6d712!3m1!1s2@1:CIHM0ogKEICAgIC92Oj_Mw%7CCgwIu_2GrwYQ6Kye2AM%7C?hl=en,100862812762835704628,https://lh3.googleusercontent.com/a/ACg8ocKd3bRFxboyonpCo7tzEcZOb3ZAY_k0vwWUFxjL31xV=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/100862812762835704628?hl=en,,,,,,,,,,,,,,,,,,en,34
10203,Alati Divine Greek Cuisine,5,We had an absolutely divine birthday lunch. Everything was great and perfect and love the food!! Highly recommended.,2023-10-04T06:11:39.683Z,2,Pauline Yoong,519.0,False,,,5 months ago,,Lunch,,$100+,Dine in,5.0,5.0,5.0,ChdDSUhNMG9nS0VJQ0FnSURabWM2aHd3RRAB,https://lh5.googleusercontent.com/p/AF1QipPKvqaylDIcAHbYfc8y3LIEqWy9eCI-K8CRPZbi=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNVzYnumFPCb51xGz0bNNE2rdlwpNid8d2-OEH8=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPZi-VB5vSsEAvEGa_X5pECNi4C32JxPqg2FZlF=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN0oVBz3IwapbOgFAFUvUHVuM8jXoD9FX_hfmIV=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPeY182swPVjAbrHgCh6sEYlcIzXwTc3PyODpWY=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO1pVTsQvA7TFGO1D_D9wszlHUCVRAGZPz7Feds=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMt_r5lt1vVsa9ql6V8uLWUKY8Lqm1URfksGJI8=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMS-HTpNsN6c1THiKKK9K7V2NyJogMoRd5XkEin=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOlquOJnUgrkJKJ32ueNV3GgkqYbRiLO3vGVjGH=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM9wm4WeRj3UNTJC3LgSf_zSCDnb0YFGMiRFUzz=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMJVLjlcShPFWjvSJ3HlyH9KCSeiuY7dt9WKfFH=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOg0wGioK7W1MOTmMwimymfRxHYfiYefukjd4FV=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP0ecGtKN7mAOaXoONhLjP_AWHn4Hhvuof5C1Ce=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURabWM2aHd3RRAB!2m1!1s0x0:0x32e35aeca0406ca2!3m1!1s2@1:CIHM0ogKEICAgIDZmc6hwwE%7CCgwIm4T0qAYQyPSRxgI%7C?hl=en,109959124710224590577,https://lh3.googleusercontent.com/a-/ALV-UjXPufT_zJS7DCfMJ2WEJ7STAMcMJD0i2LwvqqnJqN2q0jU=s120-c-rp-mo-ba6-br100,https://www.google.com/maps/contrib/109959124710224590577?hl=en,,,,,,,,,,,,,,,,,,en,18
6829,Ser Seng Herbs (Turtle) Restaurant,5,Our number 1 choice to go when introducing turtle soup experience to our family guests🐢the soup is so good and they also allow a third to half portion of soup refill btw. Must eat with the yam rice! Staff are always very warm and hospitable. 5 stars🙌,2022-12-25T02:01:26.204Z,0,Anna Chen,99.0,False,,,a year ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUNCdHFIOFJREAE,https://lh5.googleusercontent.com/p/AF1QipMGYLDz_SqAkoffUibCwFvJDlCv5ZnL3qwkfVNm=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOfTfIR1fSrCFMZW85AojEXqVHQ7WoxXuuZTUYa=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCdHFIOFJREAE!2m1!1s0x0:0x638ef2c8bd9f7dd9!3m1!1s2@1:CIHM0ogKEICAgICBtqH8RQ%7CCgsI9t2enQYQoJDZYQ%7C?hl=en,110928609892588687866,https://lh3.googleusercontent.com/a-/ALV-UjUFsBlP-itBjTqTETpvPMIZbIvgeIfxdnVPk6vk4OKSjcs=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/110928609892588687866?hl=en,,,,,,,,,,,,,,,,,,en,47
7632,Chin Huat Live Seafood,5,"My mum told me this stall have been here for many years. The foods are good, seafood taste nice and fresh too. The menu show a lot of variety and mostly in text, so to prepare to read through the menu as the prices are a bit on high side. However the portion are big and service are excellent. The waiter Mr Bon from Philippines can speak many dialects and madarine. The waiter and waitress serve us very well. The crabs is the star so prepare to pay for it. The drinks are expensive too.",2023-08-24T08:17:42.190Z,1,Sherman TBH,964.0,True,,,6 months ago,,Dinner,,$40–50,Dine in,4.0,5.0,5.0,ChdDSUhNMG9nS0VJQ0FnSURwaWRpSnl3RRAB,https://lh5.googleusercontent.com/p/AF1QipOWLGH0lSQOdzyBWuDYKd7TOeJzeDe1NwSgVDK4=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOMyhP5XPPtj4lBtQgv2XpiUX7FDoIOEYx2XVP7=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMGDFaXM7Am2ukeiQfIitCwlVTX8xELUxol0MR9=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM3iCixpavTzFht57_5wPkfStLguTlpz8J4jqKN=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPfpJUSd_S0jeVvYkbl5v3KW9w8ufmcU1fzCsFV=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOHZe0tkjln559sF8h2HH0PSF4WpP9XmuToTmEj=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNFk1fMC8k5uF3rFcJUe_y5Dwes8a4XMYDGLblk=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPobBp9rTML-XlDH15DjVDCpOJaGkH84ZasFh9V=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPhBxzJ1QVWsySArZSAiKkjmb7T3wT02HE8VTRe=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPa-YqSlne93qTqa4uV00hlz0aoSRzpwFOCE5tf=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOjqiUQntHjvxtAUEn9Brwh7j8qfUSReIJA18Om=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPSMVboXPTSmnyvOuxUO83xwSy_672NZbSHKsL4=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOFXNNb6ifyBcNOmFKiZUEUboNHZKIAvx6TgU6J=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPRUezrI0eImy3Ya8goGxAtwJj1uBMkdcmVDVhU=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOnTUfB5ehmGFBHIXTq3udiv2uAeDz1zIbu3QU0=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMfFEH-6JbdsMgace-iJyk2-BG92ZSHoOduBMJi=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPyxN_Jo8UfyoFxuAetzjN002wuwOkxCP7J62O5=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMbp8skyH7bsZHGYWBoGiFel_s9xodXRNBE_WEe=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPgVesOp2AOrmgJMzpyhsp4kTgnB-NQHt3-rZ1L=w150-h150-k-no-p,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwaWRpSnl3RRAB!2m1!1s0x0:0xa5e7dd0869770140!3m1!1s2@1:CIHM0ogKEICAgIDpidiJywE%7CCgsIpqScpwYQ8JnwWg%7C?hl=en,113225615342914080738,https://lh3.googleusercontent.com/a-/ALV-UjVcjFKmI0MjSJIeeR3dw27uocPhaBsRhcMZcLd69cGqcB4=s120-c-rp-mo-ba7-br100,https://www.google.com/maps/contrib/113225615342914080738?hl=en,,,,,,,,,,,,,,,,,,en,95
4474,McDonald's HDB Hub,2,Waited for 30 mins for my food staff was messy and dropped food on the tables and floors. Missed my number and took 5 mins just to tell them as they just kept ignoring.  left my food out and my drink cup was falling apart. I asked for table service and the staff walked past me I had to stop them and bring in myself. Didnt even take my number. Food was cold and stale because left out for so long. Table was sticky and dirty,2023-11-23T05:47:25.504Z,2,Kate Seah,8.0,False,,,3 months ago,,Lunch,,$1–10,Dine in,3.0,4.0,1.0,ChdDSUhNMG9nS0VJQ0FnSUNsNWI3aDhBRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsNWI3aDhBRRAB!2m1!1s0x0:0x6f2348084b07992!3m1!1s2@1:CIHM0ogKEICAgICl5b7h8AE%7CCgwI7c77qgYQ0N7X8AE%7C?hl=en,107725655695546887063,https://lh3.googleusercontent.com/a-/ALV-UjWPKmhVBDwN01yY1AJkYAC8bZIq6-wboEvn55l-BdOerA=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/107725655695546887063?hl=en,,,,,,,,,,,,,,,,,,en,86
8575,ARIZE Bistro by Axsolute,5,"Food was really good! Much better than expected! Beef patty of the burger very fragrant, and chicken cutlet very well marinated! And the fried mushroom, super yummy! Definitely prefer this place over Astons! 👍🏼👍🏼👍🏼 and very cute robot waiter 🤩",2021-10-12T13:10:04.611Z,2,Christine He,9.0,False,,,2 years ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUQ2dTlqcjB3RRAB,https://lh5.googleusercontent.com/p/AF1QipOzC-9vy7oQbgwIV1jBQm7j0YYpK3Yhk8w4WkWo=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPT9d5-NLttZ4Tbv5wjoVJ5sNzRWonxuzihbIDL=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPT4De3PyQbSSXKXfSBWIKfP6Zemmams9OklEKt=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ2dTlqcjB3RRAB!2m1!1s0x0:0x5853f64b34f5a61f!3m1!1s2@1:CIHM0ogKEICAgID6u9jr0wE%7CCgwIrJKWiwYQuPK3owI%7C?hl=en,109481781852802364232,https://lh3.googleusercontent.com/a/ACg8ocIII47vmIKrKivsFonCuk1FF5lo9I4q4Xxo_rmWzXTL=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/109481781852802364232?hl=en,,,,,,,,,,,,,,,,,,en,40
246,Texas Chicken (Causeway Point),1,Disappointed with the whole Korean chicken moment. Taste nothing and look nothing like the poster. You can see the picture attached.. Maybe the cheese fries taste like KFC’s and that’s all. Chicken burger came cold too. It was only 11.20am in the morning and they also almost got our orders wrong.. Ain’t visiting it again.,2023-07-02T12:28:55.891Z,0,愛薇_Ivy,18.0,False,,,8 months ago,,Lunch,,$10–20,Dine in,2.0,1.0,2.0,ChZDSUhNMG9nS0VJQ0FnSUNKOWZxSEJnEAE,https://lh5.googleusercontent.com/p/AF1QipNXAv5YaC--t9TkMzhIhPmzoZBoAr7sWyZnBO3X=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPgcCFoEO0NSMnB7ypIaw_Vk9BB2VpT_yDfdjX2=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNKOWZxSEJnEAE!2m1!1s0x0:0xb0b1d01d2663ff39!3m1!1s2@1:CIHM0ogKEICAgICJ9fqHBg%7CCgwIh9uFpQYQkLnuqAM%7C?hl=en,111994839288626457880,https://lh3.googleusercontent.com/a-/ALV-UjVc_NRdCBInYQYttO1vRWA0fHLYcg85XaG3NI1uTj63A_Y=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/111994839288626457880?hl=en,,,,,,,,,,,,,,,,,,en,55
7253,Summer Yakitori,5,"Beautiful outdoor seating area. Great skewers at reasonable prices. Most importantly, lady boss is very friendly and accommodating.",2023-10-12T14:12:46.148Z,0,Keng Jin Ng,1.0,False,,,4 months ago,,Dinner,Plenty of parking,$40–50,Dine in,5.0,5.0,5.0,ChZDSUhNMG9nS0VJQ0FnSUM1aXRiR01nEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM1aXRiR01nEAE!2m1!1s0x0:0x623036f09a72dbc2!3m1!1s2@1:CIHM0ogKEICAgIC5itbGMg%7CCgsI3v2fqQYQ8Lv3Rg%7C?hl=en,111294496427381210142,https://lh3.googleusercontent.com/a/ACg8ocJntDJftl9EWgQ5xlWLpCXJ2g7KzXSTzuMPMA20Elb3=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/111294496427381210142?hl=en,,,,,,,,,,,,,,,,,,en,18
