,title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32,reviewImageUrls/33,reviewImageUrls/34,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Recommendation for vegetarians,reviewImageUrls/35,reviewImageUrls/36,reviewImageUrls/37,reviewImageUrls/38,reviewImageUrls/39,reviewImageUrls/40,reviewImageUrls/41,reviewImageUrls/42,reviewImageUrls/43,reviewImageUrls/44,reviewImageUrls/45,reviewImageUrls/46,reviewImageUrls/47,reviewImageUrls/48,reviewImageUrls/49,lang,num_words
4695,Stella Seaside Lounge,5,"Need a car 🚗 to come to this place.
Was here on Monday evening & was surprised a band performing that night.
Beautiful sunset 🌅 & sea breeze to chill with drinks 🍺 & food
Staffs are responsive & with a smile whenever you need their attention",2024-03-02T03:31:49.044Z,0,Boon Leong,273.0,True,,,5 days ago,,,,,,5.0,5.0,5.0,ChZDSUhNMG9nS0VJQ0FnSUM5aE0tUEVnEAE,https://lh5.googleusercontent.com/p/AF1QipNzrH8huUCWo7i66emN_DvZSkjeS9IG7ZVpNMZt=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNGj3NdnNKTuKYIH1i6mn1kkqZuCO_XgPpuh4Jc=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNYeU15R6DHkwY_DNZYmWda1D2uEWmtu10Ev7GI=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMwc9AXalGcdLZklA5a28e18gLHMG6wGledecY0=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5aE0tUEVnEAE!2m1!1s0x0:0x24d0ae82371e96b6!3m1!1s2@1:CIHM0ogKEICAgIC9hM-PEg%7CCgsIpbuKrwYQgJaNFQ%7C?hl=en,118439101019407877742,https://lh3.googleusercontent.com/a-/ALV-UjX2p2w1lq3oXUkRRGroqOYnaIlrCQAghChDuFd7Vqfm4YE=s120-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/118439101019407877742?hl=en,,,,,,,,,,,,,,,,,,en,47
10242,城记海鲜 Happy Chef Kitchen,5,Love the curry & nonya fish head. The prawn paste chicken is nice too. On average I pack about 6-8 dishes for takeaway. Just googled & found this Zh Char - tried once & love it - so far this is my 3rd takeaway within 2 weeks. Yet to try their crabs - will feedback once I tried.,2024-02-26T03:16:06.739Z,0,chin khong danny toh,4.0,False,,,a week ago,,Lunch,Plenty of parking,$10–20,Take out,4.0,5.0,5.0,ChZDSUhNMG9nS0VJQ0FnSURkamJIMU9BEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURkamJIMU9BEAE!2m1!1s0x0:0x255ad366ca329289!3m1!1s2@1:CIHM0ogKEICAgIDdjbH1OA%7CCgwI9oTwrgYQ8ODe4AI%7C?hl=en,116452067086943330488,https://lh3.googleusercontent.com/a/ACg8ocJDviEqSPRWYRi3nYeQGbbVocH6byFZkPpLvNsZ9-w=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/116452067086943330488?hl=en,,,,,,,,,,,,,,,,,,en,58
2267,Hokkaido Sushi,5,The food is nice and fresh. The yakimono and grilled food is highly recommended. The service is good as well. Will definitely come back again!,2023-10-24T09:15:29.824Z,1,Surfire Du,13.0,False,,,4 months ago,,Lunch,,$50–60,Dine in,5.0,5.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUQ1bHNhQ2d3RRAB,https://lh5.googleusercontent.com/p/AF1QipNeObn2IHton1Tuo70tvg1cfxx1ER66FjoyjkFP=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNxExdr_d5S9W11q8jUAztiL1RgiYgpeNySQyqk=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOnmaoVvwH7V4_08u9mN6qkzlopbxv6ZutCxXmq=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMGOmDEihrj4voDbY7iHHFHji4SxuZ5uFtwOWex=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOHJ1Nc8p8k1EQKYh4sX_rjyw81Di-8-wwO8YtD=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQ1bHNhQ2d3RRAB!2m1!1s0x0:0x4b54693da48625b7!3m1!1s2@1:CIHM0ogKEICAgID5lsaCgwE%7CCgwIsZbeqQYQ-Ln9iAM%7C?hl=en,105759152259931851513,https://lh3.googleusercontent.com/a-/ALV-UjW2kpG8IOaRt3vR0REZ5it0UCM1daB6KwuQFeuKE9JTWww=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/105759152259931851513?hl=en,,,,,,,,,,,,,,,,,,en,25
10141,Gaig Singapore,5,"It was my first time at Restaurant Gaig, and I would say the food here is simply amazing!

Restaurant Gaig’s menu showcases Catalan dishes with traditional recipes dating back to the 19th century through Chef Marti’s innovative interpretations. They also have a really good selection of wines that you can consider going with the meal.

Highlight from the new Chef’s Menu ($180++ per diner) focus on the no wastage nose-to-tail Gastronomy – Lamb

Location: Restaurant Gaig,  16 Stanley Street Singapore 068735",2023-06-02T11:26:57.523Z,2,Mighty Foodie,476.0,False,,,9 months ago,,Dinner,,$100+,Dine in,5.0,5.0,5.0,ChZDSUhNMG9nS0VJQ0FnSUN4c3Z5UE13EAE,https://lh5.googleusercontent.com/p/AF1QipOI1wZf-aycNKR87PT-mDq2Q7eKF1KexYK5zDxR=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMX842cPlYcm13EfaJC6KFWSTmpoaVniAAzxy32=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN5G7d9ITJZCXQP43ZGMRVqC6XsTeMUor9XPKek=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOWCHIplFOe0HeeAzAb3qZKcNlgAQjG9jd16Uhj=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOAgk7hNXRdbaXZtaqZrcfb7wZ2A9H9NJIh-dvg=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN2gMIh25XBqAToLe1J7Z7cjulBJKTWep7mdaQv=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMIbn0Zd64YVL8hFo3Vrj354wnSxsLcL780ZjrK=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM5_T05Nzzi2SjO34cJ9SvAMqv5sKoN7sAAakRM=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMn8AwQSLD3XxOeESDN3DCNixeY5ogZ55l0MM0f=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPqvuSyKtJ9-29cMap7pspVj7gCe3koj_NiNFcM=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP34xpNHQRxVD2GcjkAWc5fhg8fOl8qrozsEgXC=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNP04xpaED3ZEkMGbSbkXY4OiY8V8FVOEoO5ykH=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPy5OomuIMfOquPuYH3mEGaMnx_1d9D-LPeWsxc=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOFhBuSbjyZN3IUWZWIkxRLu0AhK6tbRIzs-IVW=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN4c3Z5UE13EAE!2m1!1s0x0:0x6387fcf3dbbebfbe!3m1!1s2@1:CIHM0ogKEICAgICxsvyPMw%7CCgwIgaTnowYQyJbH-QE%7C?hl=en,117758726090524211857,https://lh3.googleusercontent.com/a-/ALV-UjXx4NtI4DYJhdXdpkSyXE8ZwNswPN65H_rQcj0VAu0mgTs=s120-c-rp-mo-ba6-br100,https://www.google.com/maps/contrib/117758726090524211857?hl=en,,,,,,,,,,,,,,,,,,en,81
1111,Greenhouse Bistro,5,"The bistro is large and spacious, offering a diverse range of food options from an extensive menu. The prices are reasonable considering the portion size, and the food itself is remarkably delicious. It's certainly a hidden gem in the area, and I would definitely choose to dine here again if I find myself in the vicinity.",2023-08-26T12:59:24.098Z,2,Leslie Lee,149.0,True,,,6 months ago,,Lunch,Plenty of parking,$20–30,Dine in,5.0,5.0,5.0,ChZDSUhNMG9nS0VJQ0FnSURwOVlMN2JnEAE,https://lh5.googleusercontent.com/p/AF1QipN5y-ZUEqXWLMTz2xf3kQPq36Lrn92dcjEnd5KT=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPVuoi1GZ9SUeG0yf-fOuec95YbwlFns3L-0pFX=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNDSZFICIAJiIHIluYJwlxRa3OoViJqoN5-sa3Z=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN8_ugjjKRNHKnos2pkU2bt8em8NjzJIV39fEhq=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM9WGrmkJd7sPV6dLe-tdlm5r-hVtcmZK4ZJOmT=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMzRRXbkKjBQBt9JdHyLiAYwLnnc9nZ0snXHpsx=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMagcMaVTBFBjVcFU1THOd9s_xfy3GIqw05FG-6=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOeejlX1Nn6nwCSEHTum8LasYi5uowjW6YdWdhu=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPoMTa6AM1UWSfrTAX_6A4YQRkbEfcdD5NWcNCu=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO8Pgn2Kc4Wp2jiL3GFpVIkpi6m1gfZuyqeVNWF=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNd14-grcEoIzK9sdEFtCgU46Bww_5BwGImx8yt=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO_DNcDbxp90iwK_7cWnzL4kA69tRFocOuOg94m=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURwOVlMN2JnEAE!2m1!1s0x0:0x876f009052aab46c!3m1!1s2@1:CIHM0ogKEICAgIDp9YL7bg%7CCgsIrO6npwYQ8JD6Lg%7C?hl=en,101814915902635139760,https://lh3.googleusercontent.com/a-/ALV-UjUbZoo4VDwab3PHCifgmTxnYE2a8Ek8gTTmFp-coqeRymY=s120-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/101814915902635139760?hl=en,,,,,,,,,,,,,,,,,,en,56
3616,Sakunthala's Restaurant - Changi Outlet,2,"Ordered Prawn Biryani and I was served rice with Prawn curry instead. The egg Biryani was served with rice and egg curry too.
Butter chicken seemed more like Chicken tikka curry.

All disasters in the name of taste and authenticity.

I hope the restaurant hires a good chef, who understands the true recipe combining it with right flavors and taste.",2023-01-02T09:19:12.222Z,0,Val C.,103.0,True,2023-01-09T03:05:11.679Z,,a year ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNCM2U2QWx3RRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCM2U2QWx3RRAB!2m1!1s0x0:0x57909edf42f4d51a!3m1!1s2@1:CIHM0ogKEICAgICB3e6AlwE%7CCgsIkMPKnQYQ0NSiag%7C?hl=en,104562020472282593322,https://lh3.googleusercontent.com/a-/ALV-UjXzNRhdT_f8VpSDUke_L0jlZp2pVCCJmBrLvf0ozyYLew4=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/104562020472282593322?hl=en,,,,,,,,,,,,,,,,,,en,60
1543,Tea House by Soup Restaurant - IMM,2,"Had dinner there and the staff attitude (not all) are very lousy. One of the PRC lady seems very impatient and annoyed when I ask her questions nicely. Every time I ask her something I feel like I own her something that kind of feeling. When ask about the exact ingredients of the item cos it was written chicken but she keep saying it was Pork... she end up cannot confirm what she is saying.
Also end up one of the dish was the wrong item and we have to wait for very long while other dishes were finished. It wasn't a busy day for the restaurant but overall the service is just way below standard",2023-12-25T02:19:52.481Z,0,Alex Ong,65.0,True,2024-02-21T02:05:47.934Z,,2 months ago,,Dinner,,$100+,Dine in,2.0,3.0,1.0,ChdDSUhNMG9nS0VJQ0FnSUMxbkw2V3NRRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxbkw2V3NRRRAB!2m1!1s0x0:0xf8ef1f0c980d0603!3m1!1s2@1:CIHM0ogKEICAgIC1nL6WsQE%7CCgwIyM2jrAYQ6LDb5QE%7C?hl=en,116002908071558613860,https://lh3.googleusercontent.com/a/ACg8ocLDJr2MfqWuNYdXbzTGujm7P6Qh2Ni-KRZocmTOyUWw=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/116002908071558613860?hl=en,,,,,,,,,,,,,,,,,,en,116
10571,Kaarla Wood-Fire Grill,5,"Came here for birthday celebration.
Nice atmosphere and thank you the Chinese lady Manager who always fulfils and cater our needs !
Definitely a worth place to visit 🎉",2024-02-12T08:51:44.740Z,0,Lee Hui Yi,3.0,False,2024-02-23T10:05:02.997Z,,3 weeks ago,,Lunch,,$100+,Dine in,5.0,5.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUNkNU9TcHpBRRAB,https://lh5.googleusercontent.com/p/AF1QipNuMcYRnJthvl8fgsGwr89cypN6QrhP6RnaL3YF=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN5by3BMjTIitub43qWu9tePONtmzEC19hMCFxP=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNRkkKIFGUJNt2RX75gVbV1Q3n6-GTqgpVGYE2Z=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPhyHRIOc8Fbk5aiOdNUjiqhCq5rOs9LDwsZNGR=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMzcTmpFVfiUSnK8PcSnDTi8JjmeFB-q5Hecp8t=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMFqWlF2YUanaUXvRDtQLaG9VRYkYcz0RJE8MX2=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO1tdTCOrEhFRco6um7K8I9szVHgO5WcZmqicmU=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMmnkcwnOD-ZxvgWcazM7c5QU6PWjFKWT5NojKf=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOJvoVAlBmClQvb4IkZuNtlZHKytQCcncApoHSA=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkNU9TcHpBRRAB!2m1!1s0x0:0x73b7ace4df28ac23!3m1!1s2@1:CIHM0ogKEICAgICd5OSpzAE%7CCgwIoLinrgYQuOCA4QI%7C?hl=en,114241107399217211703,https://lh3.googleusercontent.com/a-/ALV-UjUK0f_GDxnvG0fbRpgiIbY26e4YyfgNR2EeWnYfMIiqZPbj=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/114241107399217211703?hl=en,,,,,,,,,,,,,,,,,,en,29
596,Cheval Cafe Bar Bistro,4,"Service staffs are friendly. Good food and nice ambience, next to the turf club. The only downside is waited too long for the salmon to be served. The beef cubes are surprisingly yummy 😋",2023-12-31T12:47:29.271Z,0,Elsie C,28.0,True,,,2 months ago,,Dinner,,,Dine in,4.0,4.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUMxMFlLTFJBEAE,https://lh5.googleusercontent.com/p/AF1QipPjcvSYbqu3ipPjbuD7WNZJYevXKdVnNTGhNnRX=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMbx9yahpu6P7ySbIg-x9R94auz7g9mJr_LIdEC=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNb4sz3skC2E_Wey2Jh07NCksFru8ZUsQFZBzlM=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOyMKPnHCIWS8Tk3GjQUevUSNMKDCJgimpE0gCa=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNo2yYZFdGS4M82EaFsrGVvEmCXIU5PPWeIOex4=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPbRDBZx19bBu2wdagxcD6sh58cFNas4l5ojhRb=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO-iicMAQc41R-FKhNltZtgwosK7dJjXphzZU2g=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNlllu2RugotdJA2CIO2FIoUjdocufd137U1efZ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOmm_CTCAtYgNXeLzLMd45AcBrMdB8vV8jd7lPm=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNMZVbZKekmixlBYKIxROGMvq2UeznbI-FqG8lW=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMxMFlLTFJBEAE!2m1!1s0x0:0xedda72683ad8216f!3m1!1s2@1:CIHM0ogKEICAgIC10YKLRA%7CCgwI4cXFrAYQ-NGfgQE%7C?hl=en,103269433918244285381,https://lh3.googleusercontent.com/a-/ALV-UjWujpZIRlgriLEdXiG0dr6lZjE19L9iTffgDJ4dg35JJ9U=s120-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/103269433918244285381?hl=en,,,,,,,,,,,,,,,,,,en,34
10446,Long Beach UDMC,5,"This is the restaurant that purportedly invented the world famous black pepper crab  of Singapore.

We had our CNY gathering here and therefore there was the quintessential Loh Hei dish. The rest was part of the set menu including crispy roast duck and black pepper crab. And here they provide an extra bowl of the black pepper sauce just in case you can’t get enough of it.

Restaurant has al fresco dining and indoor including a second level with air conditioning.",2024-02-04T02:17:44.556Z,0,Wilson Foo,889.0,False,2024-02-21T04:46:29.222Z,,a month ago,,Dinner,,$100+,Dine in,5.0,5.0,5.0,ChZDSUhNMG9nS0VJQ0FnSUR0LXVESVhREAE,https://lh5.googleusercontent.com/p/AF1QipNlm15BvjuQzOmEtxjdwntYreFN58MtEstrGdE2=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNp0I0Py2X97KOAZ8lhHkgZ-y7WvRhewuBntlkt=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNQX5zT9aLyUJFg_hfTzMVPwGATVuCWByXfvGDJ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPfg19RRmcBRaPvHh2hA3eG1Qv5tegpCeVYEscx=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPOmkz1s-J7sUu71G4QLA7piy0TXhiKktb4hj1H=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMwiEMWoXtr-SBhk54T0eMhjMDvIYV7IhlghyxC=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM5qp3dTFmTOypI_28jZTGmvmTtAvQ_cPXHoJ4k=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPR22VMSIa-s5fTShxncYevlD_nKGSxPuCQWbjp=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR0LXVESVhREAE!2m1!1s0x0:0x12a3cf80b1a594ab!3m1!1s2@1:CIHM0ogKEICAgIDt-uDIXQ%7CCgwIyOf7rQYQqNmgiQI%7C?hl=en,114263857328212431619,https://lh3.googleusercontent.com/a/ACg8ocJGY5UoOjkfR_P8-YtpDEz09YvJJ0CKErgySQfEIsUb=s120-c-rp-mo-ba7-br100,https://www.google.com/maps/contrib/114263857328212431619?hl=en,,,,,,,,,,,,,,,,,,en,81
