,title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32,reviewImageUrls/33,reviewImageUrls/34,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Recommendation for vegetarians,reviewImageUrls/35,reviewImageUrls/36,reviewImageUrls/37,reviewImageUrls/38,reviewImageUrls/39,reviewImageUrls/40,reviewImageUrls/41,reviewImageUrls/42,reviewImageUrls/43,reviewImageUrls/44,reviewImageUrls/45,reviewImageUrls/46,reviewImageUrls/47,reviewImageUrls/48,reviewImageUrls/49,lang,num_words
5192,Sona's Grill Restaurant,4,"Food is generally good. Serving size on the small end. Mutton, bind and palak paneer are good.  Butter chicken is a bit too sweet.  Naan is a bit thin, thus butter Naan feels oily throughout.  Gulab Jamun is dry and flaky for the first serving but the second serving was normal. So, quality is not consistent. Mango lassi is also small and overpriced.  Pricing comparable to other Indian restaurant. Waiter is attentive.

Parking gantry does not work properly.  We used various cards including nets, flash pay etc.  In the end need to use Paynow. Lol.",2023-06-24T11:55:23.125Z,0,lp Leong,58.0,True,,,8 months ago,,Dinner,Plenty of parking,$30–40,Dine in,5.0,4.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUNKc3NQTHlRRRAB,https://lh5.googleusercontent.com/p/AF1QipOTFGzuRiM1qvSnl6PV-veshrt8wokXEQk_6-q_=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNJItp-TRBulgcnQ5K8uPF0N0kySFNQpko-7Wxt=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOvrHpPevL6zP8qnZmYoepUrXtJCX2--mOO6sms=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNAwNmfsJTEWYqJYs76NlGbmYngl-klq2Uo7Pm0=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNKc3NQTHlRRRAB!2m1!1s0x0:0xb474c2d14e7e7b6a!3m1!1s2@1:CIHM0ogKEICAgICJssPLyQE%7CCgsIq7PbpAYQoP7TOw%7C?hl=en,101441064426089371065,https://lh3.googleusercontent.com/a-/ALV-UjXoVkOTd49BPC-fZLmn3Pdlnky1_7cqXbFFkae9tNVvr34=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/101441064426089371065?hl=en,,,,,,,,,,,,,,,,,,en,95
2102,Sakura Family Restaurant,2,"My friend and I are post duty from work and decided to eat somthing before we head home. So we went to Sakura in this Eastpoint Mall.

The service wise is not I can recommend, I think they needed a workshop or attend a course for customer service. The staff is lazy to walk towards to the customer that wanted to order. And I was shock that the spoon and fork are not de same design ( it is understandable if you are doing it at home )

As seen on the pictures, no presentation on the fried squid and sauce, and to mention so hard to eat, and the sambal kangkong, was a lousy appearance.",2023-10-13T10:50:49.319Z,1,Ivy Abella,78.0,False,,,4 months ago,,,,,Dine in,2.0,2.0,2.0,ChdDSUhNMG9nS0VJQ0FnSUM1OW9fS2pRRRAB,https://lh5.googleusercontent.com/p/AF1QipO5f3HGZrkLi2cORA6XbyaaXdREXXacn7y1G48l=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMUVfO6qnfhHBvLAFkLOmEyr2RMgJOeDU1aUynZ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMctd-Mbl41JHFQp497LkTj_2J9J4fL1h4NAz4l=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUM1OW9fS2pRRRAB!2m1!1s0x0:0x2a552184da792ac0!3m1!1s2@1:CIHM0ogKEICAgIC59o_KjQE%7CCgwIicKkqQYQ4LePmAE%7C?hl=en,105954755382168385032,https://lh3.googleusercontent.com/a-/ALV-UjULi5v0Sk7OZ5FGMUJ7vIb_cMDNc9cpuUvt7m5r4qWyr50=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/105954755382168385032?hl=en,,,,,,,,,,,,,,,,,,en,116
7344,Jai Thai Restaurant,4,"Their food is tasty and affordable. We ordered their green curry, tom yum clear seafood, prawn omelette, nonya fried fish and prawn cakes. The standouts for me were the omelette, seafood soup and green curry. The portion were generous for that price so I have nothing to complain about. However I don't recommend their drinks. We order the Thai milk tea, green milk tea and the red ruby drink. Too much sugar but not enough body. Not enough milk I think and I am not sure what else but its really not to my liking. So just order the food and drink the soup and leave the drinks alone unless you are ordering the can drink variety.",2023-02-17T17:19:32.971Z,2,wendy khng,198.0,True,,,a year ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNoeGNMX25RRRAB,https://lh5.googleusercontent.com/p/AF1QipNTFMkabwLn50ugXgS550ng5VINOfcKTp3W9JUZ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNUsNkNBx7bYnW89vzcSCp7RhZhT5VzfK2xypHZ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNv00Q_ybEkqHkfEEfO1SW7M58qZYBC4uiuRQSF=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNoeGNMX25RRRAB!2m1!1s0x0:0x7a0812a834a43c5b!3m1!1s2@1:CIHM0ogKEICAgIChxcL_nQE%7CCgwIpO6-nwYQkI-HzwM%7C?hl=en,117269757961738095610,https://lh3.googleusercontent.com/a/ACg8ocL_jScbyUngDkZf65kYzNTd5jP7RcnuEFrk-4ge8XGb=s120-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/117269757961738095610?hl=en,,,,,,,,,,,,,,,,,,en,117
4710,Tapas Club,4,"A Mixed Experience at Tapas Club: Delectable Cuisine with Premium Pricing.

My visit to Tapas Club offered a culinary journey through their menu of Spanish delicacies. The Seafood and Chicken Paella impressed with its moist rice, each grain infused with the rich essence of the ocean. Equally noteworthy were the Pulled Pork Tacos, featuring meat so tender it melted in the mouth, and the Mediterranean Salad, which was a beacon of freshness.

However, despite the high-quality food, the prices at Tapas Club are on the higher end. The cost is a significant factor to consider, especially when comparable Spanish cuisine might be found elsewhere at a more affordable rate.

Given the sparse customer turnout during a weekday lunch, it does raise the question of whether Tapas Club might review their pricing strategy to enhance their appeal, especially if they wish to draw a larger crowd during typically slower business hours.",2023-11-07T04:46:20.691Z,2,Joe Yap,45.0,True,2023-11-28T03:16:56.757Z,,4 months ago,,Lunch,,$80–90,Dine in,4.0,5.0,4.0,ChZDSUhNMG9nS0VJQ0FnSURGOXNEX0xREAE,https://lh5.googleusercontent.com/p/AF1QipNKtof814lr5nCXV5oSe_v6yZ7iBfjdKtTxjuqn=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP7-I0FraUmxPRvVoV8cWorOFiVR1r79_FmRt6b=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipODG1eIt-9HkCKqfficMtOR51AMxdotlYDwm3--=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNjTMbM28Tdgbg_EKzGgBHWLyiQpXzWY3gS_p1y=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURGOXNEX0xREAE!2m1!1s0x0:0xf8c9faa4113497ca!3m1!1s2@1:CIHM0ogKEICAgIDF9sD_LQ%7CCgwInIKnqgYQ-LbByQI%7C?hl=en,111833439200984936772,https://lh3.googleusercontent.com/a-/ALV-UjWRqD4XmzOR5jnhERltw76t3qSbu5muB3yf7AUqtiT1mm4=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/111833439200984936772?hl=en,,,,,,,,,,,,,,,,,,en,150
2395,Family Flavor Restaurant,4,Average taste with affordable price. Overall good.,2023-03-03T12:26:11.243Z,2,Terry Ding,390.0,False,,,a year ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURock91bURBEAE,https://lh5.googleusercontent.com/p/AF1QipMJKh-LhfnArGGDK8XlqB8YgWddOmXrAQzfMb3d=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO9iVX8fiCS95XachHsWchIr4UxvIg6CN-q7pDa=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOVHcGTEGJ64d-2toao_vDmIonV7SkE0LpqaNgb=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURock91bURBEAE!2m1!1s0x0:0x963d5d1084d2a1d7!3m1!1s2@1:CIHM0ogKEICAgIDhrOumDA%7CCgsI486HoAYQkJyCdA%7C?hl=en,106265589250471004962,https://lh3.googleusercontent.com/a-/ALV-UjWYzrQT5VdGlMXr7Z38qFcFza_QZrcfcgBW3n9Vo0SU2SU=s120-c-rp-mo-ba6-br100,https://www.google.com/maps/contrib/106265589250471004962?hl=en,,,,,,,,,,,,,,,,,,en,7
637,Esarn Thai Corner Pasir Panjang,5,"Food was decent, flavourful enough and service is welcoming. Like the glazed pork, split wings and fried rice… e sarn Thai has been there for the longest time and the taste didn’t change. Will still recommend people to go & try",2024-01-13T23:46:21.841Z,0,Rarchelle SY,257.0,False,,,a month ago,,,,$100+,Dine in,4.0,5.0,4.0,ChdDSUhNMG9nS0VJQ0FnSUNOLXBHUTJ3RRAB,https://lh5.googleusercontent.com/p/AF1QipMGaYWobkjtGGG1HKnJ_JxJ0VZuhtDZ1XCmLR4H=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMhIIDnEezEh49rvZprCuNvbyeVmZrev3PZp_NA=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPTXBfUOONo6LEYRZbvPBD33Nl3OIM-7bEcUYWD=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipO3FRMas4wLTNx62WTKV9_4lHOYt_aFU05p_DEj=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNjcLqZBRQeNWxZt69QW458aliTYyu0tzC7ukxQ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPcbZZpZMLBwwY8y9TXbJXdXnR7hfnHtH-49_AL=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNOLXBHUTJ3RRAB!2m1!1s0x0:0x7c3dff2e28262448!3m1!1s2@1:CIHM0ogKEICAgICN-pGQ2wE%7CCgwIzcGMrQYQyMWQkQM%7C?hl=en,101946108062311189159,https://lh3.googleusercontent.com/a-/ALV-UjXUh2nGTAJ_vHaPo7Q1TDz0hX5zdKvfB_32fMwSSVzRnZM1=s120-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/101946108062311189159?hl=en,,,,,,,,,,,,,,,,,,en,41
7400,Brotzeit German Beer Bar and Restaurant - WestGate,5,"Came here on a Monday at 9pm after my gym session. All the other restaurants were closing. The staff were friendly and my drink order was served very fast. My order of sausage and baked potato took a while but it was worth it.

I ordered a Beer-ga-rita cos I wanted a cocktail but it was Oktoberfest so I decided to have a combo of both. Overall a chill place to hang out with friends and family.",2023-10-23T17:06:13.057Z,0,M Chen,72.0,True,2023-10-30T01:57:24.819Z,,4 months ago,,Dinner,,$40–50,Dine in,5.0,5.0,5.0,ChZDSUhNMG9nS0VJQ0FnSUQ1aHZLMUp3EAE,https://lh5.googleusercontent.com/p/AF1QipMy77Q1H1aezcHuHqUWHdu5iEQpkYv40P6DrOik=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ1aHZLMUp3EAE!2m1!1s0x0:0xd8f267b2bf1164d!3m1!1s2@1:CIHM0ogKEICAgID5hvK1Jw%7CCgsIhdDaqQYQsKaaGw%7C?hl=en,117219980570993006062,https://lh3.googleusercontent.com/a-/ALV-UjX-TKCKw-T48vEvw60ozhromj5MIvY_ai01ylqoZMarCcA=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/117219980570993006062?hl=en,,,,,,,,,,,,,,,,,,en,77
1900,Don Dae Bak Restaurant,1,"Expensive for the food we received. My friends and I dined at Don Dae Bak and decided to order the cold noodles and beef noodles, alongside several side dishes. The portions were meagre and all 3 of us ended up getting food poisoning. The only saving grace was the service staff who were polite and ready to serve us.",2024-02-29T10:03:22.608Z,1,Sel Rocks,2.0,False,2024-03-07T11:24:12.152Z,,a week ago,,,,,,2.0,1.0,4.0,ChZDSUhNMG9nS0VJQ0FnSUM5a05Ea1JREAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUM5a05Ea1JREAE!2m1!1s0x0:0x3ce935298fcac8a0!3m1!1s2@1:CIHM0ogKEICAgIC9kNDkRQ%7CCgwI6qyBrwYQwLqwogI%7C?hl=en,113414610011993496372,https://lh3.googleusercontent.com/a-/ALV-UjXKs1t0_M1ZKpcTd-3WfhSj4GoEmjdPOLi3DyNU9DmKww=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/113414610011993496372?hl=en,,,,,,,,,,,,,,,,,,en,59
2981,Yi Jia Seafood Village Restaurant,4,"At first glance, your typical Zi char stall in your neighborhood kopitiam. That is until you see the menu with dishes not commonly found in other Zi char places. The crispy chicken in the picture is an extremely difficult dish to find and it's execution was perfect. Now if only it wasn't so expensive, I could have it every week",2022-04-26T13:12:00.436Z,1,Xiaoan bai chi,147.0,False,,,a year ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSUMyamVQc0l3EAE,https://lh5.googleusercontent.com/p/AF1QipNvyv2dLZqEre-25hggx2KhYRDURacNC-yZ_pqh=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMyamVQc0l3EAE!2m1!1s0x0:0x67cba1c0a14b2b1b!3m1!1s2@1:CIHM0ogKEICAgIC2jePsIw%7CCgwIoN-fkwYQ-Omk0AE%7C?hl=en,102390199687192635671,https://lh3.googleusercontent.com/a/ACg8ocKHgDMDaiHDMowm3l5OphvoR1j6hkeChC5Ec0eekDfh=s120-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/102390199687192635671?hl=en,,,,,,,,,,,,,,,,,,en,60
8124,Niqqi's The Cheese Prata Shop,4,"The cheese prata is very good. There are tower of ice teh tarik which is what I'd never seen before. One can taste the cheese, a bit salty to my liking.

Also ordered horlicks which is just as good if not better. Not too sweet and not too bland. One of the best horlicks I'd drunk. Definitely will come back again if I'm nearby.

Parking is an issue, but given that it is open 24 hours, if you come at midnight, you can just park along the roadside which most others did.

It's Sunday 2:08am and the place is full of people. Probably due to Christmas holiday tomorrow. Will definitely bring my family over though I live in the North East.",2022-12-25T18:11:21.904Z,0,Kef Low,308.0,False,2023-02-23T07:49:00.921Z,,a year ago,,Other,,,Dine in,4.0,4.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUNCenFUcHpBRRAB,https://lh5.googleusercontent.com/p/AF1QipOc_x3MB8xzEiySFeR-DvE008z4ZYh6Kjm4nkKn=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMjpSlQQCO_qdT3kxRDlM-kP6inEnjJRqKtvwAK=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCenFUcHpBRRAB!2m1!1s0x0:0x9cd32488a0a05c1f!3m1!1s2@1:CIHM0ogKEICAgICBzqTpzAE%7CCgwIyaSinQYQ8LWmrwM%7C?hl=en,107955224785853922261,https://lh3.googleusercontent.com/a-/ALV-UjW1GZ11dEhj739V1FstGKgRwLx_3hL8T8b7h2BVSCrvvyk=s120-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/107955224785853922261?hl=en,,,,,,,,,,,,,,,,,,en,121
