,title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16,reviewImageUrls/17,reviewImageUrls/18,reviewImageUrls/19,reviewImageUrls/20,reviewImageUrls/21,reviewImageUrls/22,reviewImageUrls/23,reviewImageUrls/24,reviewImageUrls/25,reviewImageUrls/26,reviewImageUrls/27,reviewImageUrls/28,reviewImageUrls/29,reviewImageUrls/30,reviewImageUrls/31,reviewImageUrls/32,reviewImageUrls/33,reviewImageUrls/34,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Recommendation for vegetarians,reviewImageUrls/35,reviewImageUrls/36,reviewImageUrls/37,reviewImageUrls/38,reviewImageUrls/39,reviewImageUrls/40,reviewImageUrls/41,reviewImageUrls/42,reviewImageUrls/43,reviewImageUrls/44,reviewImageUrls/45,reviewImageUrls/46,reviewImageUrls/47,reviewImageUrls/48,reviewImageUrls/49,lang,num_words
7678,Iro Iro Japanese Restaurant,5,"We were so excited to eat so the photos are taken when we were halfway in. We chanced upon this place after work nearby - We ordered 2 Tempura udon (which includes fried tempura ebi, salmon, pumpkin and some enoki mushroom), dragon boat maki and a yuzu sake. The udon was amazing, soup tasted really light but flavourful with the hint of the mushroom. Noodles were cooked to a good texture and the tempura was not too oily at all! It was really comforting on a cold rainy night. My partner seldom finishes soup in soup dishes but he DEMOLISHED the whole udon.

The dragon boat maki was amazing as well, the ebi was cooked so nicely (not too oily, flour was not too much) and the salmon on it was a great addition. Very well blended taste and honestly i’m still thinking about it 😋🤤

We initially wanted to order  highball to try, but the lady boss (I assume) recommended us a yuzu sake that she had just brought in. It turned out really good and went so well with the food we ordered! She got another glass of sake (which she additionally shared with us it’s of a higher tier that is also yuzu but sweeter) That one was 🤩🤩🤩❤️❤️ I wanted to find out what brand/type was it but she was busy. (She offered as goodwill too cause another waiter accidentally spilled my glass while he was cleaning up, hope he didn’t get scolded too much for it!!! Hahaha)

We were also then served barley tea FOC - she mentioned it was refreshing after drinking alcohol and she was right. Commendable that she is very familiar with providing her customers the best experience there. Would recommend and definitely will come back again!! It’s just 3 mins walk from lorong chuan MRT exit B. Super convenient. I have also noticed there’s a lot of regular customers coming in. Not sure about the sashimi and chawamushi, but I will definitely try it again when i’m back. 🤩",2023-11-25T02:55:12.562Z,1,Lee Joleen,39.0,False,2023-12-10T15:15:19.003Z,,3 months ago,,Dinner,Plenty of parking,$30–40,Dine in,5.0,5.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUNsM2RmeWlnRRAB,https://lh5.googleusercontent.com/p/AF1QipOiD_WFp4Cny8ag4FehicxpYtgXU938fwkumuFo=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPZ6mA_xTDmbph0cyqZ0sqROAIKLJgeb1OMWVR5=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP2ZMkpI8VQDD0TmnyvgJmzSsPEOUlpiNrIMvBV=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMcfCWn3lcP5WJ4YVfDhdNN-6x3eZbJHagqM8O8=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNsM2RmeWlnRRAB!2m1!1s0x0:0x320e6897bc14220f!3m1!1s2@1:CIHM0ogKEICAgICl3dfyigE%7CCgwIkMSFqwYQ4JqKjAI%7C?hl=en,117934328219292461664,https://lh3.googleusercontent.com/a-/ALV-UjXItWf71jdchCG-WtfyKpl92nsy8dJf-DJCO0BFxzHDtRI=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/117934328219292461664?hl=en,,,,,,,,,,,,,,,,,,en,338
5117,Pura Brasa Singapore,5,"Really great Spanish food at reasonable prices. I especially liked the grilled iberico pork secreto, the aubergine with honey, and the seafood paella. Service was good and staff were friendly. I’ll definitely be back to try their other dishes soon!",2024-02-14T16:50:26.656Z,0,Randy Choo,26.0,True,,,3 weeks ago,,Lunch,,$70–80,Dine in,5.0,5.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUNkMnZPVHRnRRAB,https://lh5.googleusercontent.com/p/AF1QipPG9MTPN81IuwpicLfbl-MwfGyC7J9us77Kw6TL=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMFyfhPhyu3RYa9klaA3QR2FfzTJTdMvWIBOFZu=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNonnN3OpfrYjaWOZm1VwlhmOCdEC1BstEARNK9=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPGr9ZDZDE7YDdIe7eP9A_WIkzpPsZziB1e8eJO=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPbLga8yMzWLCcDpcIQgYCJ_UY_lxIvVdjRbddO=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNcA4_f9ZHVD4ILhvGw7OeMaj5YVMe2qmdPqBoC=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNkMnZPVHRnRRAB!2m1!1s0x0:0xac793dffcd0ff380!3m1!1s2@1:CIHM0ogKEICAgICd2vOTtgE%7CCgwI0t6zrgYQ0PbxuAI%7C?hl=en,103452922630400112161,https://lh3.googleusercontent.com/a-/ALV-UjWGdbQ3tPAka70f03RdNKLwQDVoPWhITggGGfoACLH2yJQ=s120-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/103452922630400112161?hl=en,,,,,,,,,,,,,,,,,,en,40
3138,Sheik Jalani Restaurant,4,"Food range is amazing, food equality is slightly above average. Down side that there are peak periods which will be hard to get seats during. But other than that, an often patron.",2018-04-19T05:10:55.527Z,0,Miss Ain M,61.0,False,,,5 years ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURncV9xSVFnEAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURncV9xSVFnEAE!2m1!1s0x0:0xa928f020539ac19f!3m1!1s2@1:CIHM0ogKEICAgIDgq_qIQg%7CCgwI38ng1gUQwMOl-wE%7C?hl=en,106966314141024936001,https://lh3.googleusercontent.com/a-/ALV-UjWlARtUzDLUq7Ix8n26oFNFlC3jpUa61SDzZr3I8ncznXcz=s120-c-rp-mo-ba4-br100,https://www.google.com/maps/contrib/106966314141024936001?hl=en,,,,,,,,,,,,,,,,,,en,32
2683,Black Society 黑社会,5,Nice ambience - the room was well decorated with Christmas carols and accompanied with Christmas carols. Delicious food - the food items on the menu did not disappoint us at all. Great service - thank you Kenny Yeo and the staffs for providing such great service.,2023-12-23T12:36:58.020Z,0,Marilyn Lau,2.0,False,,,2 months ago,,Dinner,,,Dine in,5.0,5.0,5.0,ChdDSUhNMG9nS0VJQ0FnSUMxbE1YSHNRRRAB,https://lh5.googleusercontent.com/p/AF1QipPYFvtDgHQMnP2hHEC2t82o8zzK2MjiTxrPQMFk=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipN-b5IcnT5-XlU-iOSRbBI1DlZkJ6vttmcBh9B1=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM_kN8CkEYTbaiEqazCUg0X2oWWWg3TbQwdYgEq=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxbE1YSHNRRRAB!2m1!1s0x0:0xa966633b8edd7030!3m1!1s2@1:CIHM0ogKEICAgIC1lMXHsQE%7CCgsI6qibrAYQyNzlCQ%7C?hl=en,105035516696061408928,https://lh3.googleusercontent.com/a/ACg8ocIMEtVt2iKpjQTU06VV2Vhov7dx6Ujyrljgt5Rb8ufc=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/105035516696061408928?hl=en,,,,,,,,,,,,,,,,,,en,46
620,BOMBAY DINING-NORTH INDIAN RESTAURANT,2,Ordered on Deliveroo and food arrived 50min late. Contacted Deliveroo but they said delivery handled by restaurant so was unable to track and also unable to contact restaurant. Finally food arrived after 50min late. Overall quality is ok still warm but naan was understandable soggy as it was wrapped in foil.,2021-05-22T11:13:00.211Z,4,Owen Lam,47.0,True,,,2 years ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSURLX19hbWlRRRAB,https://lh5.googleusercontent.com/p/AF1QipPGW0vnpg-g3mdE1i94EfiF_ew4ZCX0YF-WEfxq=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURLX19hbWlRRRAB!2m1!1s0x0:0x9ae0b10cbfcba67b!3m1!1s2@1:CIHM0ogKEICAgIDK__amiQE%7CCgsIvM6jhQYQgOT9ZA%7C?hl=en,104332860572314971451,https://lh3.googleusercontent.com/a/ACg8ocJv-UUUkG_aNWTQsHYfLOm2uyF6qIPi6e7Qxf_eB2Ur=s120-c-rp-mo-ba3-br100,https://www.google.com/maps/contrib/104332860572314971451?hl=en,,,,,,,,,,,,,,,,,,en,51
2877,Shen Li Restaurant,3,"their coffee pork was the best to be, but prices have gone up, size of each piece has gotten smaller… the sambal kang king is still delicious",2021-06-15T12:22:30.563Z,1,Raymond Chng,10.0,True,,,2 years ago,,,,,,,,,ChdDSUhNMG9nS0VJQ0FnSUNxclllaS13RRAB,https://lh5.googleusercontent.com/p/AF1QipMZUr4oc1FIBe0p8SKU0Vp0QeRobvm-M8OWgr5h=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNxclllaS13RRAB!2m1!1s0x0:0xeff4605949de587b!3m1!1s2@1:CIHM0ogKEICAgICqrYei-wE%7CCgwIhreihgYQuI7KjAI%7C?hl=en,115954266265465843256,https://lh3.googleusercontent.com/a-/ALV-UjX1fdB1qrZvsCIO9jduepzqi8PcZu_0-Ebh1X1MUI4uqkQ=s120-c-rp-mo-ba6-br100,https://www.google.com/maps/contrib/115954266265465843256?hl=en,,,,,,,,,,,,,,,,,,en,27
7193,Kelly Jie Seafood (TPY Mellben Seafood) 龍海鲜螃蟹王,4,"Crab could have been fresher, but overall still a good meal. Salted egg veg and their dramatic sweet & sour pork is something I’d gladly order again when I return.",2023-08-29T10:41:19.985Z,0,Jasper Aston Lim,61.0,True,,,6 months ago,,Dinner,,$50–60,Dine in,4.0,4.0,5.0,ChdDSUhNMG9nS0VJQ0FnSURwcTlxX2dnRRAB,https://lh5.googleusercontent.com/p/AF1QipO-jXKvSiG7-8LKql-hO2gmhA-PA9xs6cqvAntn=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM9mmb0raZ3pSfePVZFxcC18R6YRHmPjaivqZfl=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPd1tRO2PDgjXIER2UlAJfniMzDETyGy2siocoW=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwcTlxX2dnRRAB!2m1!1s0x0:0x9b90359aa86f9f5e!3m1!1s2@1:CIHM0ogKEICAgIDpq9q_ggE%7CCgwIz5a3pwYQ2KHk1QM%7C?hl=en,117931186025944877329,https://lh3.googleusercontent.com/a-/ALV-UjXMqpQgR0iQQKN48xgqr-zJzHESqvT37WwEg2OLblKmYVLX=s120-c-rp-mo-ba5-br100,https://www.google.com/maps/contrib/117931186025944877329?hl=en,,,,,,,,,,,,,,,,,,en,30
9656,Pizza Hut Bedok Mall,1,"staff on site were cold and unwelcoming and seemingly more interested in their own conversations than helping customers. i was trying to pay but the two workers at the cashier in front of me were js chit chatting, i was standing there for 2 mins js looking at them before a third worker came to take my payment. other than that, it was my first time in awhile eating onsite at pizza hut so i was unsure of what to do, but the worker who was in the dining area was very short and cold with his answers and made the whole experience so much more unpleasant. not sure abt other pizza huts, but dont go to the one at bedok mall. not worth the money as it is expensive + horrible service.",2024-01-21T02:11:00.070Z,0,Shwe Yu Par Khin,1.0,False,2024-01-22T08:33:38.720Z,,a month ago,,,,,,,2.0,,ChdDSUhNMG9nS0VJQ0FnSUROd3VPRnNBRRAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUROd3VPRnNBRRAB!2m1!1s0x0:0xeddc621205e3d7c9!3m1!1s2@1:CIHM0ogKEICAgIDNwuOFsAE%7CCgsItPqxrQYQ6IvsIQ%7C?hl=en,106061559755821684147,https://lh3.googleusercontent.com/a-/ALV-UjXQPavExZPpkbQdrhPWvAkx30c5m9mkHbBidR55MYOtXhI=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/106061559755821684147?hl=en,,,,,,,,,,,,,,,,,,en,133
287,Lao Huo Tang Restaurant,4,"Loves the soup. The soup has good variety and tasted really good. The restaurant is very generous, offering a one time free refill of soup. One can just have the soup and rice as the soup is very nutritious.",2022-10-22T13:49:32.354Z,0,Delicious Myojo,487.0,False,,,a year ago,,,,,,,,,ChZDSUhNMG9nS0VJQ0FnSURlajdPQlR3EAE,https://lh5.googleusercontent.com/p/AF1QipM_LO5vAzC_kQHh5JOGV4t1MdH3Ix_vRs-u2cg1=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPIwZfT4qAAw8tm73d78PhGQsRCX9TkhuPNHbZh=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMOW9HaTjZF3ElsyszvdIV2VRBHFkor2PRc4p43=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMRTx3wgCr4oDbWreUbO7IuHoSUwGz6WdxCGxc1=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP7XeCKtfvwee74trpZsmuJNNnHKZxY7JmFAYBQ=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOoVUswWAXoSAl7kl5kfq1-RpeEoDU6DVnFrqIF=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipNflC5nruNVBisivSi4IjwSSQi03cjdomHBf938=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMKVcSnNIqyyEw-kc1AhrORqDqcKh2BGcpuQ6OM=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMoax3JT8UY6EnxN91mlUEO2sqS7Z1ejh45Ae8i=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlajdPQlR3EAE!2m1!1s0x0:0x669b3f4f90031a0d!3m1!1s2@1:CIHM0ogKEICAgIDej7OBTw%7CCgwI7OnPmgYQ4MKCqQE%7C?hl=en,116247864409808564338,https://lh3.googleusercontent.com/a-/ALV-UjXrVZQx4tKgkuUyZKscs8nULzdkqX-4R_yKx_dRMHL8Eg=s120-c-rp-mo-ba6-br100,https://www.google.com/maps/contrib/116247864409808564338?hl=en,,,,,,,,,,,,,,,,,,en,39
7653,Ontama Don,1,50% discount Wagyu don is totally doesn’t worth it. The beef meat is difficult to bite and the taste is bad. The green tea is very hot and you can’t hold the cup for long. Won’t come back again.,2023-04-05T02:21:49.119Z,2,Koh,11.0,False,2023-04-18T08:16:28.393Z,,11 months ago,,Lunch,,$70–80,Dine in,,,,ChdDSUhNMG9nS0VJQ0FnSUNSeWNPejJ3RRAB,https://lh5.googleusercontent.com/p/AF1QipMsHpYhY9DP2L9QPNCqV3oUFKohZ0-0cDoxnDgs=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipMZfsS4THdA-DuNI3dnj-280DKZEgG2tUsVlYEl=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPzRvNJ6mwxwrK3-UFdS9g4_XPNliHlWkWu4qSg=w150-h150-k-no-p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Google,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNSeWNPejJ3RRAB!2m1!1s0x0:0x2ae5b614d3d8aa45!3m1!1s2@1:CIHM0ogKEICAgICRycOz2wE%7CCgsIvbazoQYQ8N-VOQ%7C?hl=en,108582249073981738902,https://lh3.googleusercontent.com/a/ACg8ocJoC62o4_NWEHCcTgyWsKk_YskxZ4LQW0Pn-gRBvo8t=s120-c-rp-mo-br100,https://www.google.com/maps/contrib/108582249073981738902?hl=en,,,,,,,,,,,,,,,,,,en,39
